NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MDM2	7	31.709999084472656	-0.0012140069	No	
row_1	EGFR	10	29.6200008392334	2.6595156E-4	No	
row_2	RAC1	28	20.56999969482422	-0.0063359863	No	
row_3	PIK3CA	57	18.639999389648438	-0.018864648	No	
row_4	HRAS	86	17.309999465942383	-0.031393312	No	
row_5	CAND1	90	17.049999237060547	-0.030452145	No	
row_6	CDKN2A	97	16.440000534057617	-0.03112736	No	
row_7	POLR2B	110	15.510000228881836	-0.03503533	No	
row_8	CDK4	120	14.65999984741211	-0.037326925	No	
row_9	PARK2	129	14.010000228881836	-0.039079726	No	
row_10	EIF4H	130	13.850000381469727	-0.03652218	No	
row_11	RB1	141	12.449999809265137	-0.039352566	No	
row_12	PTEN	145	12.229999542236328	-0.0384114	No	
row_13	CCT2	146	12.180000305175781	-0.035853855	No	
row_14	SEC61G	150	11.670000076293945	-0.03491269	No	
row_15	IFNG	153	11.619999885559082	-0.033432733	No	
row_16	SRP14	160	11.300000190734863	-0.034107946	No	
row_17	CDK5	165	10.970000267028809	-0.033705574	No	
row_18	SRP72	190	9.869999885559082	-0.044079065	No	
row_19	EIF2B5	192	9.729999542236328	-0.042060312	No	
row_20	CUL4A	210	9.100000381469727	-0.04866225	No	
row_21	SNRPE	213	9.039999961853027	-0.04718229	No	
row_22	NOS3	223	8.619999885559082	-0.049473885	No	
row_23	SOX2	234	8.300000190734863	-0.05230427	Yes	
row_24	TRIM28	238	8.260000228881836	-0.051363107	Yes	
row_25	DDX56	239	8.260000228881836	-0.04880556	Yes	
row_26	ADCY1	241	8.149999618530273	-0.046786807	Yes	
row_27	HGF	244	8.039999961853027	-0.04530685	Yes	
row_28	GNAI1	246	8.029999732971191	-0.0432881	Yes	
row_29	CYCS	247	7.989999771118164	-0.040730555	Yes	
row_30	KDR	254	7.809999942779541	-0.041405767	Yes	
row_31	TCF3	264	7.679999828338623	-0.04369736	Yes	
row_32	CCT6A	265	7.639999866485596	-0.041139815	Yes	
row_33	THBS1	267	7.619999885559082	-0.039121065	Yes	
row_34	NTS	291	7.099999904632568	-0.04895576	Yes	
row_35	PPIA	294	7.079999923706055	-0.047475804	Yes	
row_36	DCUN1D1	301	6.949999809265137	-0.048151016	Yes	
row_37	TERT	303	6.909999847412109	-0.046132267	Yes	
row_38	SMARCD1	304	6.900000095367432	-0.04357472	Yes	
row_39	RFC2	306	6.900000095367432	-0.041555967	Yes	
row_40	CDK6	307	6.840000152587891	-0.038998425	Yes	
row_41	MET	311	6.769999980926514	-0.03805726	Yes	
row_42	LIG4	316	6.659999847412109	-0.037654888	Yes	
row_43	KIT	320	6.570000171661377	-0.03671372	Yes	
row_44	MGMT	326	6.510000228881836	-0.036850143	Yes	
row_45	DCTN2	327	6.409999847412109	-0.034292597	Yes	
row_46	RAP1B	332	6.320000171661377	-0.033890225	Yes	
row_47	COL4A1	347	6.150000095367432	-0.038875785	Yes	
row_48	NPSR1	350	6.090000152587891	-0.037395824	Yes	
row_49	CD36	351	6.079999923706055	-0.03483828	Yes	
row_50	GNA15	365	5.920000076293945	-0.039285045	Yes	
row_51	MEPCE	367	5.909999847412109	-0.037266295	Yes	
row_52	OGDH	373	5.840000152587891	-0.037402716	Yes	
row_53	UQCR11	387	5.619999885559082	-0.04184948	Yes	
row_54	STX1A	389	5.599999904632568	-0.03983073	Yes	
row_55	AP2M1	398	5.550000190734863	-0.041583527	Yes	
row_56	NMU	409	5.449999809265137	-0.044413913	Yes	
row_57	ABCF2	411	5.420000076293945	-0.042395163	Yes	
row_58	NPY	412	5.420000076293945	-0.039837617	Yes	
row_59	ELN	418	5.360000133514404	-0.039974038	Yes	
row_60	IGFBP3	424	5.300000190734863	-0.04011046	Yes	
row_61	LYZ	426	5.28000020980835	-0.038091708	Yes	
row_62	HUWE1	427	5.269999980926514	-0.035534162	Yes	
row_63	PAICS	429	5.25	-0.033515412	Yes	
row_64	S1PR4	438	5.110000133514404	-0.035268214	Yes	
row_65	COL4A2	446	4.980000019073486	-0.03648222	Yes	
row_66	LIMK1	448	4.96999979019165	-0.03446347	Yes	
row_67	IFNB1	458	4.869999885559082	-0.03675506	Yes	
row_68	MKI67	459	4.860000133514404	-0.034197517	Yes	
row_69	IRS2	460	4.840000152587891	-0.03163997	Yes	
row_70	PGAM2	464	4.820000171661377	-0.030698806	Yes	
row_71	FAS	465	4.789999961853027	-0.02814126	Yes	
row_72	TFDP1	476	4.659999847412109	-0.030971646	Yes	
row_73	BRAF	477	4.650000095367432	-0.028414102	Yes	
row_74	ACTA2	481	4.630000114440918	-0.027472937	Yes	
row_75	PDGFRA	485	4.610000133514404	-0.02653177	Yes	
row_76	MRPS33	493	4.559999942779541	-0.027745778	Yes	
row_77	MDM4	496	4.53000020980835	-0.02626582	Yes	
row_78	NPS	497	4.519999980926514	-0.023708275	Yes	
row_79	MTA1	502	4.480000019073486	-0.023305902	Yes	
row_80	CAMK2B	504	4.460000038146973	-0.02128715	Yes	
row_81	NDUFB2	509	4.409999847412109	-0.020884778	Yes	
row_82	SMARCD3	514	4.389999866485596	-0.020482406	Yes	
row_83	ING1	518	4.369999885559082	-0.019541241	Yes	
row_84	FXR1	525	4.269999980926514	-0.020216456	Yes	
row_85	TEC	528	4.260000228881836	-0.018736497	Yes	
row_86	GTF2I	532	4.210000038146973	-0.017795332	Yes	
row_87	DDIT3	536	4.170000076293945	-0.016854165	Yes	
row_88	GCK	553	4.03000020980835	-0.02291731	Yes	
row_89	CNTN2	555	4.019999980926514	-0.020898558	Yes	
row_90	LNX1	557	4.019999980926514	-0.018879807	Yes	
row_91	SHC2	562	3.990000009536743	-0.018477434	Yes	
row_92	WDR18	564	3.990000009536743	-0.016458683	Yes	
row_93	CYP2E1	571	3.930000066757202	-0.017133897	Yes	
row_94	GNA11	572	3.930000066757202	-0.014576352	Yes	
row_95	PDGFA	591	3.8299999237060547	-0.021717083	Yes	
row_96	NF1	596	3.7699999809265137	-0.02131471	Yes	
row_97	ECHS1	602	3.740000009536743	-0.021451132	Yes	
row_98	KISS1	617	3.6600000858306885	-0.02643669	Yes	
row_99	YEATS4	623	3.5999999046325684	-0.026573112	Yes	
row_100	DVL3	627	3.569999933242798	-0.025631946	Yes	
row_101	PHF8	631	3.5399999618530273	-0.02469078	Yes	
row_102	NUP107	633	3.5199999809265137	-0.02267203	Yes	
row_103	GRB10	635	3.490000009536743	-0.020653278	Yes	
row_104	NTRK3	639	3.4800000190734863	-0.019712113	Yes	
row_105	IGFBP1	640	3.4700000286102295	-0.017154567	Yes	
row_106	RASGRP1	645	3.440000057220459	-0.016752195	Yes	
row_107	BAZ1B	647	3.430000066757202	-0.014733443	Yes	
row_108	IFNA13	653	3.4100000858306885	-0.014869864	Yes	
row_109	FAF1	661	3.380000114440918	-0.01608387	Yes	
row_110	PIK3C2B	666	3.369999885559082	-0.015681498	Yes	
row_111	MLLT3	669	3.3499999046325684	-0.0142015405	Yes	
row_112	RHEB	676	3.3299999237060547	-0.014876754	Yes	
row_113	ARHGEF7	678	3.319999933242798	-0.012858002	Yes	
row_114	POLD2	679	3.309999942779541	-0.0103004575	Yes	
row_115	CPSF6	682	3.2899999618530273	-0.008820499	Yes	
row_116	UBE2M	688	3.259999990463257	-0.00895692	Yes	
row_117	CAPZA2	694	3.2300000190734863	-0.0090933405	Yes	
row_118	FIP1L1	697	3.2200000286102295	-0.0076133823	Yes	
row_119	TUBGCP3	698	3.2100000381469727	-0.0050558373	Yes	
row_120	MBD3	709	3.1600000858306885	-0.0078862235	Yes	
row_121	GLI1	718	3.119999885559082	-0.009639024	Yes	
row_122	FRS2	726	3.0899999141693115	-0.010853031	Yes	
row_123	TUBGCP2	729	3.0799999237060547	-0.009373073	Yes	
row_124	TSFM	739	3.0399999618530273	-0.011664665	Yes	
row_125	CEP135	745	3.0299999713897705	-0.011801086	Yes	
row_126	CDKN2C	750	3.009999990463257	-0.011398714	Yes	
row_127	HOXA9	754	2.9800000190734863	-0.010457548	Yes	
row_128	STK17A	755	2.9700000286102295	-0.007900003	Yes	
row_129	RBBP5	767	2.9200000762939453	-0.011269183	Yes	
row_130	NCF1	768	2.9200000762939453	-0.008711638	Yes	
row_131	CHMP2A	771	2.9100000858306885	-0.0072316797	Yes	
row_132	PTPRD	773	2.9000000953674316	-0.005212928	Yes	
row_133	BSG	774	2.9000000953674316	-0.0026553834	Yes	
row_134	HOXA1	777	2.890000104904175	-0.0011754248	Yes	
row_135	GNL3L	781	2.869999885559082	-2.3425941E-4	Yes	
row_136	IFNA2	788	2.8399999141693115	-9.094733E-4	Yes	
row_137	LAMP1	794	2.819999933242798	-0.0010458941	Yes	
row_138	HLA-DRA	797	2.799999952316284	4.3406448E-4	Yes	
row_139	HUS1	798	2.799999952316284	0.0029916093	Yes	
row_140	HCN2	799	2.799999952316284	0.005549154	Yes	
row_141	HOPX	800	2.7899999618530273	0.008106698	Yes	
row_142	LPAR6	817	2.75	0.0020435539	Yes	
row_143	F7	823	2.7300000190734863	0.001907133	Yes	
row_144	TEK	824	2.7100000381469727	0.0044646775	Yes	
row_145	F10	826	2.7100000381469727	0.0064834296	Yes	
row_146	ARHGEF25	840	2.6700000762939453	0.0020366637	Yes	
row_147	ASL	842	2.6700000762939453	0.0040554153	Yes	
row_148	REN	850	2.640000104904175	0.0028414084	Yes	
row_149	ADAM12	851	2.630000114440918	0.0053989533	Yes	
row_150	NME7	854	2.630000114440918	0.0068789115	Yes	
row_151	OS9	856	2.609999895095825	0.008897663	Yes	
row_152	EPHA3	872	2.559999942779541	0.0033733116	Yes	
row_153	HOXA7	878	2.5399999618530273	0.0032368908	Yes	
row_154	CDKN2B	885	2.5	0.002561677	Yes	
row_155	TRA2A	890	2.4800000190734863	0.0029640493	Yes	
row_156	AES	894	2.4700000286102295	0.0039052148	Yes	
row_157	USP46	900	2.4600000381469727	0.003768794	Yes	
row_158	CDC34	902	2.450000047683716	0.005787546	Yes	
row_159	IGFBP7	916	2.4000000953674316	0.0013407799	Yes	
row_160	PTPRB	924	2.380000114440918	1.2677303E-4	Yes	
row_161	MRPS24	934	2.359999895095825	-0.0021648202	Yes	
row_162	EIF2AK4	936	2.3499999046325684	-1.4606852E-4	Yes	
row_163	IFNA5	938	2.3499999046325684	0.0018726832	Yes	
row_164	MCF2L	944	2.3299999237060547	0.0017362623	Yes	
row_165	DBNL	946	2.3299999237060547	0.003755014	Yes	
row_166	SEMA3A	951	2.299999952316284	0.0041573863	Yes	
row_167	CACNA2D1	956	2.2799999713897705	0.0045597586	Yes	
row_168	REST	958	2.2699999809265137	0.00657851	Yes	
row_169	CIRH1A	969	2.2300000190734863	0.003748124	Yes	
row_170	IGF2BP3	975	2.2100000381469727	0.0036117032	Yes	
row_171	GUSB	983	2.190000057220459	0.0023976963	Yes	
row_172	DOCK1	999	2.180000066757202	-0.0031266555	Yes	
row_173	MTAP	1000	2.180000066757202	-5.691108E-4	Yes	
row_174	GIGYF2	1002	2.1700000762939453	0.0014496408	Yes	
row_175	MTG1	1003	2.1700000762939453	0.004007186	Yes	
row_176	CYTH3	1006	2.1500000953674316	0.005487144	Yes	
row_177	POLRMT	1013	2.130000114440918	0.0048119305	Yes	
row_178	TXK	1017	2.109999895095825	0.0057530957	Yes	
row_179	MAGED2	1019	2.0999999046325684	0.0077718473	Yes	
row_180	FGD1	1022	2.0899999141693115	0.009251806	Yes	
row_181	SBDS	1028	2.0799999237060547	0.009115385	Yes	
row_182	TSR2	1035	2.049999952316284	0.008440171	Yes	
row_183	IFNA14	1039	2.0299999713897705	0.009381337	Yes	
row_184	HOXA10	1041	2.0299999713897705	0.011400089	Yes	
row_185	YKT6	1045	2.0199999809265137	0.012341253	Yes	
row_186	TSC22D4	1047	2.0199999809265137	0.014360005	Yes	
row_187	SLC6A3	1060	1.9900000095367432	0.010452033	Yes	
row_188	FZD9	1069	1.9600000381469727	0.008699233	Yes	
row_189	ATP2B1	1070	1.9600000381469727	0.011256778	Yes	
row_190	WNK3	1073	1.9500000476837158	0.012736736	Yes	
row_191	DDC	1083	1.940000057220459	0.010445143	Yes	
row_192	IFNA8	1088	1.9299999475479126	0.010847515	Yes	
row_193	CNOT2	1089	1.9299999475479126	0.01340506	Yes	
row_194	UBE2D4	1090	1.9199999570846558	0.015962604	Yes	
row_195	HOXA11	1095	1.9199999570846558	0.016364977	Yes	
row_196	ADAM8	1096	1.9199999570846558	0.018922523	Yes	
row_197	CHCHD2	1097	1.9199999570846558	0.021480067	Yes	
row_198	INPP5A	1110	1.8899999856948853	0.017572094	Yes	
row_199	IFNA6	1122	1.850000023841858	0.014202914	Yes	
row_200	INHBE	1123	1.850000023841858	0.01676046	Yes	
row_201	PRSS1	1127	1.840000033378601	0.017701624	Yes	
row_202	NLGN1	1128	1.840000033378601	0.02025917	Yes	
row_203	CLOCK	1135	1.7999999523162842	0.019583955	Yes	
row_204	HIP1	1143	1.7899999618530273	0.018369948	Yes	
row_205	PRELP	1146	1.7799999713897705	0.019849908	Yes	
row_206	IFNA17	1148	1.7799999713897705	0.02186866	Yes	
row_207	RERE	1151	1.7799999713897705	0.023348618	Yes	
row_208	PTPRE	1153	1.7599999904632568	0.02536737	Yes	
row_209	TNFSF13B	1163	1.75	0.023075776	Yes	
row_210	DNAJC19	1164	1.75	0.02563332	Yes	
row_211	PRKAG2	1168	1.7400000095367432	0.026574487	Yes	
