NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FN1	4	42.2599983215332	-9.740947E-4	No	
row_1	TP53	6	33.349998474121094	-6.731169E-5	No	
row_2	EGFR	10	29.6200008392334	-4.1444716E-4	No	
row_3	EEF1A1	11	28.149999618530273	0.0011192951	No	
row_4	HDAC1	20	22.389999389648438	-0.0023626366	No	
row_5	PIK3R1	27	20.90999984741211	-0.00459065	No	
row_6	RPL5	29	20.520000457763672	-0.003683867	No	
row_7	EP300	53	18.920000076293945	-0.016570188	No	
row_8	PIK3CA	57	18.639999389648438	-0.016917324	No	
row_9	RPSA	60	18.440000534057617	-0.016637499	No	
row_10	RPL23	63	18.209999084472656	-0.016357675	No	
row_11	RPS4X	72	17.709999084472656	-0.019839607	No	
row_12	PLCG1	94	16.780000686645508	-0.03147201	No	
row_13	CDKN2A	97	16.440000534057617	-0.031192185	No	
row_14	CREBBP	101	15.970000267028809	-0.03153932	No	
row_15	PAN2	123	14.520000457763672	-0.043171722	No	
row_16	RUVBL2	126	14.369999885559082	-0.042891897	No	
row_17	AR	127	14.0600004196167	-0.041358158	No	
row_18	ERBB2	139	12.470000267028809	-0.046720967	No	
row_19	RB1	141	12.449999809265137	-0.045814183	No	
row_20	PTPN11	142	12.430000305175781	-0.04428044	No	
row_21	PTEN	145	12.229999542236328	-0.04400062	No	
row_22	CCNB1	154	11.569999694824219	-0.04748255	No	
row_23	MTOR	157	11.449999809265137	-0.047202725	No	
row_24	KRAS	163	11.09000015258789	-0.04880378	No	
row_25	FLNA	169	10.729999542236328	-0.05040483	No	
row_26	COPS6	170	10.670000076293945	-0.048871092	No	
row_27	NOP56	172	10.640000343322754	-0.04796431	No	
row_28	MMP9	173	10.539999961853027	-0.046430565	No	
row_29	PIK3CG	179	10.289999961853027	-0.04803162	No	
row_30	ATM	181	10.260000228881836	-0.047124837	No	
row_31	PAK2	183	10.1899995803833	-0.046218053	No	
row_32	BMI1	189	9.90999984741211	-0.047819108	No	
row_33	VAV1	196	9.649999618530273	-0.050047122	No	
row_34	TOP1	197	9.630000114440918	-0.04851338	No	
row_35	PABPC1	207	9.130000114440918	-0.05262227	No	
row_36	COL1A2	211	9.069999694824219	-0.052969404	No	
row_37	SNRNP200	220	8.779999732971191	-0.056451336	No	
row_38	PLCG2	227	8.550000190734863	-0.05867935	No	
row_39	PAK1	229	8.460000038146973	-0.057772566	No	
row_40	HDAC9	232	8.380000114440918	-0.057492744	No	
row_41	NFX1	236	8.279999732971191	-0.057839878	No	
row_42	ADCY5	243	8.069999694824219	-0.060067892	No	
row_43	CACNA1A	245	8.029999732971191	-0.059161108	No	
row_44	APC	248	7.989999771118164	-0.058881287	No	
row_45	ITGB3	251	7.949999809265137	-0.05860146	No	
row_46	KDR	254	7.809999942779541	-0.058321636	No	
row_47	NCAM1	255	7.809999942779541	-0.056787893	No	
row_48	POLR1B	257	7.75	-0.055881113	No	
row_49	ITGA2B	260	7.71999979019165	-0.055601288	No	
row_50	DNAH8	261	7.699999809265137	-0.054067545	No	
row_51	TAF1	262	7.690000057220459	-0.052533805	No	
row_52	TF	271	7.510000228881836	-0.056015734	No	
row_53	MAPK10	272	7.480000019073486	-0.054481994	No	
row_54	ITGA2	273	7.449999809265137	-0.05294825	No	
row_55	SMARCA2	280	7.230000019073486	-0.055176266	No	
row_56	IKBKB	282	7.21999979019165	-0.05426948	No	
row_57	ADCY9	283	7.210000038146973	-0.05273574	No	
row_58	PLAU	284	7.170000076293945	-0.051201995	No	
row_59	LRRK2	285	7.170000076293945	-0.049668252	No	
row_60	GRIN1	286	7.159999847412109	-0.048134513	No	
row_61	PHB2	295	7.059999942779541	-0.051616445	No	
row_62	CHEK2	312	6.760000228881836	-0.06011405	No	
row_63	COL3A1	319	6.570000171661377	-0.062342063	No	
row_64	VWF	322	6.559999942779541	-0.062062237	No	
row_65	TRRAP	325	6.519999980926514	-0.061782416	No	
row_66	APOB	339	6.260000228881836	-0.068399146	No	
row_67	LRP1	340	6.239999771118164	-0.0668654	No	
row_68	ITGB6	341	6.199999809265137	-0.06533166	No	
row_69	HSPG2	343	6.190000057220459	-0.06442487	No	
row_70	SH3KBP1	345	6.179999828338623	-0.06351809	No	
row_71	TPX2	352	6.059999942779541	-0.065746106	No	
row_72	GOT1	353	6.039999961853027	-0.06421237	No	
row_73	MSH6	359	5.989999771118164	-0.065813415	No	
row_74	DOCK4	364	5.920000076293945	-0.06678751	No	
row_75	C3	376	5.75	-0.07215032	Yes	
row_76	TGM2	377	5.739999771118164	-0.07061658	Yes	
row_77	CCND2	381	5.710000038146973	-0.07096372	Yes	
row_78	CTNND1	385	5.639999866485596	-0.07131085	Yes	
row_79	DMD	388	5.599999904632568	-0.07103103	Yes	
row_80	MED12	392	5.579999923706055	-0.071378164	Yes	
row_81	DYNC1I2	393	5.579999923706055	-0.06984442	Yes	
row_82	TOP2B	394	5.579999923706055	-0.06831068	Yes	
row_83	HDLBP	395	5.570000171661377	-0.06677693	Yes	
