NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FN1	4	42.2599983215332	4.637707E-5	No	
row_1	ESR1	5	33.400001525878906	0.0023088206	No	
row_2	TP53	6	33.349998474121094	0.004571264	No	
row_3	EGFR	10	29.6200008392334	0.005171658	No	
row_4	PIK3R1	27	20.90999984741211	-0.0014301646	No	
row_5	PIK3CA	57	18.639999389648438	-0.015234203	No	
row_6	HSPA8	58	18.56999969482422	-0.012971759	No	
row_7	BRCA1	69	17.8799991607666	-0.016249482	No	
row_8	CREBBP	101	15.970000267028809	-0.031161554	No	
row_9	HIF1A	131	13.680000305175781	-0.04496559	No	
row_10	NOTCH1	135	13.140000343322754	-0.044365197	No	
row_11	RB1	141	12.449999809265137	-0.04487284	No	
row_12	PTPN11	142	12.430000305175781	-0.042610396	No	
row_13	PTEN	145	12.229999542236328	-0.041455984	No	
row_14	SMARCA4	148	11.949999809265137	-0.040301573	No	
row_15	PRKCB	164	11.039999961853027	-0.04634938	No	
row_16	FLNA	169	10.729999542236328	-0.046303004	No	
row_17	GRIN2B	175	10.470000267028809	-0.046810642	No	
row_18	PIK3CG	179	10.289999961853027	-0.046210248	No	
row_19	ADCY2	180	10.289999961853027	-0.043947805	No	
row_20	ATM	181	10.260000228881836	-0.04168536	No	
row_21	COL1A1	194	9.670000076293945	-0.046071116	No	
row_22	VAV1	196	9.649999618530273	-0.04436269	No	
row_23	IGF1R	201	9.4399995803833	-0.044316314	No	
row_24	COL1A2	211	9.069999694824219	-0.04704002	No	
row_25	ATR	218	8.829999923706055	-0.048101675	No	
row_26	PLCG2	227	8.550000190734863	-0.050271366	No	
row_27	APC	248	7.989999771118164	-0.059089255	No	
row_28	KDR	254	7.809999942779541	-0.059596892	No	
row_29	DNAH8	261	7.699999809265137	-0.060658548	No	
row_30	PLEC	276	7.340000152587891	-0.06615234	No	
row_31	TP63	287	7.150000095367432	-0.06943006	No	
row_32	SRRM2	290	7.099999904632568	-0.06827565	No	
row_33	PRPF8	299	6.960000038146973	-0.07044534	No	
row_34	MDN1	300	6.949999809265137	-0.06818289	No	
row_35	CASR	310	6.78000020980835	-0.0709066	Yes	
row_36	MET	311	6.769999980926514	-0.06864416	Yes	
row_37	CHEK2	312	6.760000228881836	-0.066381715	Yes	
row_38	COL3A1	319	6.570000171661377	-0.06744337	Yes	
row_39	VWF	322	6.559999942779541	-0.06628896	Yes	
row_40	TRRAP	325	6.519999980926514	-0.06513455	Yes	
row_41	ERBB4	328	6.400000095367432	-0.06398014	Yes	
row_42	COL14A1	330	6.340000152587891	-0.062271714	Yes	
row_43	APOB	339	6.260000228881836	-0.064441405	Yes	
row_44	LRP1	340	6.239999771118164	-0.06217896	Yes	
row_45	HSPG2	343	6.190000057220459	-0.06102455	Yes	
row_46	TSC1	349	6.099999904632568	-0.06153219	Yes	
