NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBC	1	176.77000427246094	8.769825E-4	Yes	
row_1	APP	2	53.68000030517578	0.0023852782	Yes	
row_2	CALM3	3	43.470001220703125	0.0038935738	Yes	
row_3	FN1	4	42.2599983215332	0.0054018693	Yes	
row_4	MDM2	7	31.709999084472656	0.0056475387	Yes	
row_5	HSP90AA1	8	29.899999618530273	0.0071558347	Yes	
row_6	UBA52	9	29.65999984741211	0.00866413	Yes	
row_7	EGFR	10	29.6200008392334	0.010172426	Yes	
row_8	EEF1A1	11	28.149999618530273	0.011680721	Yes	
row_9	FAU	13	27.229999542236328	0.012557704	Yes	
row_10	RPS3	14	25.670000076293945	0.014066	Yes	
row_11	ACTB	15	24.270000457763672	0.015574295	Yes	
row_12	RPL4	16	23.350000381469727	0.01708259	Yes	
row_13	RPLP0	17	22.829999923706055	0.018590886	Yes	
row_14	UBB	18	22.780000686645508	0.020099182	Yes	
row_15	GABARAPL2	19	22.559999465942383	0.021607477	Yes	
row_16	RPL6	21	22.139999389648438	0.02248446	Yes	
row_17	RPL11	22	22.1299991607666	0.023992756	Yes	
row_18	RPS7	23	22.100000381469727	0.025501052	Yes	
row_19	JUN	24	21.8700008392334	0.027009347	Yes	
row_20	RPL8	25	21.309999465942383	0.028517643	Yes	
row_21	RPS5	26	21.299999237060547	0.030025939	Yes	
row_22	RAC1	28	20.56999969482422	0.030902922	Yes	
row_23	RPL5	29	20.520000457763672	0.032411218	Yes	
row_24	RPS13	30	20.290000915527344	0.033919513	Yes	
row_25	RPS9	31	20.200000762939453	0.03542781	Yes	
row_26	RPL35	32	20.170000076293945	0.036936104	Yes	
row_27	CTNNB1	33	20.1200008392334	0.0384444	Yes	
row_28	EEF2	34	20.110000610351562	0.039952695	Yes	
row_29	RPS6	35	20.0	0.04146099	Yes	
row_30	NPM1	36	19.940000534057617	0.042969286	Yes	
row_31	RPL7A	37	19.93000030517578	0.044477582	Yes	
row_32	RPL3	38	19.920000076293945	0.045985878	Yes	
row_33	RPS20	39	19.889999389648438	0.047494173	Yes	
row_34	RPS16	40	19.850000381469727	0.04900247	Yes	
row_35	RPS24	41	19.649999618530273	0.050510764	Yes	
row_36	RPL12	42	19.639999389648438	0.05201906	Yes	
row_37	RPLP1	43	19.559999465942383	0.053527355	Yes	
row_38	RPL30	44	19.510000228881836	0.05503565	Yes	
row_39	RPL19	45	19.489999771118164	0.056543946	Yes	
row_40	PCNA	46	19.389999389648438	0.05805224	Yes	
row_41	RPS8	47	19.360000610351562	0.059560537	Yes	
row_42	RPS15A	48	19.25	0.061068833	Yes	
row_43	RPL10A	49	19.170000076293945	0.06257713	Yes	
row_44	RPS14	50	19.149999618530273	0.064085424	Yes	
row_45	RPS17	51	19.1299991607666	0.06559372	Yes	
row_46	RPL18A	52	19.010000228881836	0.067102015	Yes	
row_47	RPL27	54	18.8700008392334	0.067979	Yes	
row_48	RPL24	55	18.81999969482422	0.069487296	Yes	
row_49	RPL7	56	18.690000534057617	0.07099559	Yes	
row_50	HSPA8	58	18.56999969482422	0.07187257	Yes	
row_51	RPS3A	59	18.489999771118164	0.07338087	Yes	
row_52	RPSA	60	18.440000534057617	0.07488917	Yes	
row_53	RPS10	61	18.31999969482422	0.07639746	Yes	
row_54	FOS	62	18.239999771118164	0.07790576	Yes	
row_55	RPL23	63	18.209999084472656	0.079414055	Yes	
row_56	RPL18	64	18.18000030517578	0.08092235	Yes	
row_57	HSP90AB1	65	18.139999389648438	0.082430646	Yes	
row_58	CDKN1A	66	18.100000381469727	0.08393894	Yes	
row_59	RPS23	67	18.079999923706055	0.08544724	Yes	
row_60	RPS19	68	17.950000762939453	0.08695553	Yes	
row_61	RPL31	71	17.739999771118164	0.0872012	Yes	
row_62	RPS4X	72	17.709999084472656	0.088709496	Yes	
row_63	GAPDH	73	17.639999389648438	0.09021779	Yes	
row_64	RPS21	75	17.6200008392334	0.09109477	Yes	
row_65	RPS11	76	17.610000610351562	0.092603065	Yes	
row_66	TSPO	77	17.510000228881836	0.09411136	Yes	
row_67	RPL13A	78	17.5	0.09561966	Yes	
row_68	HNRNPK	79	17.489999771118164	0.09712796	Yes	
row_69	RPL38	80	17.479999542236328	0.098636255	Yes	
row_70	RPS27A	81	17.469999313354492	0.10014455	Yes	
row_71	RPL13	82	17.389999389648438	0.101652846	Yes	
row_72	RPL10	83	17.389999389648438	0.10316114	Yes	
row_73	RPS2	84	17.350000381469727	0.10466944	Yes	
row_74	RPL15	85	17.34000015258789	0.10617773	Yes	
row_75	RPL36	87	17.270000457763672	0.10705471	Yes	
row_76	RPL27A	88	17.209999084472656	0.108563006	Yes	
row_77	RPS15	89	17.18000030517578	0.1100713	Yes	
row_78	RPS18	91	16.969999313354492	0.11094829	Yes	
row_79	CNBP	92	16.8799991607666	0.11245658	Yes	
row_80	ACTG1	93	16.799999237060547	0.11396488	Yes	
row_81	RPLP2	95	16.670000076293945	0.114841856	Yes	
row_82	RPL35A	96	16.549999237060547	0.11635016	Yes	
row_83	RPS25	98	16.40999984741211	0.11722714	Yes	
row_84	RPL37A	99	16.389999389648438	0.11873543	Yes	
row_85	RPL34	100	16.18000030517578	0.12024373	Yes	
row_86	RPL29	102	15.949999809265137	0.12112071	Yes	
row_87	PSMC3	103	15.9399995803833	0.12262901	Yes	
row_88	RPL28	104	15.9399995803833	0.124137305	Yes	
row_89	RPL26	105	15.880000114440918	0.1256456	Yes	
row_90	RPS28	106	15.84000015258789	0.12715389	Yes	
row_91	EIF3I	107	15.729999542236328	0.12866218	Yes	
row_92	EEF1B2	108	15.680000305175781	0.13017048	Yes	
row_93	RPS27	109	15.630000114440918	0.13167877	Yes	
row_94	YWHAQ	111	15.5	0.13255577	Yes	
row_95	RPL23A	113	15.239999771118164	0.13343275	Yes	
row_96	YWHAE	114	15.029999732971191	0.13494104	Yes	
row_97	RPS12	115	14.899999618530273	0.13644934	Yes	
row_98	RHOA	116	14.880000114440918	0.13795763	Yes	
row_99	CDC42	117	14.770000457763672	0.13946593	Yes	
row_100	HBA2	118	14.770000457763672	0.14097422	Yes	
row_101	DDX5	119	14.710000038146973	0.14248252	Yes	
row_102	CDK4	120	14.65999984741211	0.14399081	Yes	
row_103	RPL21	121	14.600000381469727	0.14549911	Yes	
row_104	RPL39	122	14.59000015258789	0.1470074	Yes	
row_105	HLA-B	124	14.510000228881836	0.14788438	Yes	
row_106	YWHAG	125	14.399999618530273	0.14939268	Yes	
row_107	RPL32	128	14.029999732971191	0.14963835	Yes	
row_108	EIF4H	130	13.850000381469727	0.15051533	Yes	
row_109	HIF1A	131	13.680000305175781	0.15202363	Yes	
row_110	RPS4Y1	132	13.5600004196167	0.15353192	Yes	
row_111	VIM	133	13.300000190734863	0.15504022	Yes	
row_112	RPL41	134	13.140000343322754	0.15654851	Yes	
row_113	PKM	136	13.0600004196167	0.15742551	Yes	
row_114	HSPA5	138	12.520000457763672	0.15830249	Yes	
row_115	RPS26	140	12.470000267028809	0.15917946	Yes	
row_116	CD44	143	12.380000114440918	0.15942514	Yes	
row_117	TPT1	147	12.069999694824219	0.1590395	Yes	
row_118	POLR2G	149	11.770000457763672	0.15991648	Yes	
row_119	SEC61G	150	11.670000076293945	0.16142477	Yes	
row_120	FTL	151	11.670000076293945	0.16293307	Yes	
row_121	DDOST	155	11.569999694824219	0.16254742	Yes	
row_122	GNAI2	156	11.550000190734863	0.16405572	Yes	
row_123	RPN1	158	11.399999618530273	0.1649327	Yes	
row_124	HNRNPA2B1	159	11.319999694824219	0.166441	Yes	
row_125	SRP14	160	11.300000190734863	0.16794929	Yes	
row_126	HNRNPA1	161	11.279999732971191	0.16945758	Yes	
row_127	CCT4	162	11.199999809265137	0.17096588	Yes	
row_128	GNAS	166	10.90999984741211	0.17058024	Yes	
row_129	PRNP	167	10.84000015258789	0.17208853	Yes	
row_130	SNRPD2	168	10.75	0.17359683	Yes	
row_131	FLNA	169	10.729999542236328	0.17510512	Yes	
row_132	RPL36AL	171	10.649999618530273	0.1759821	Yes	
row_133	ENO1	177	10.329999923706055	0.17433384	Yes	
row_134	TUBA1A	178	10.289999961853027	0.17584214	Yes	
row_135	RPN2	184	10.1899995803833	0.17419386	Yes	
row_136	CD81	185	10.15999984741211	0.17570215	Yes	
row_137	YBX1	186	10.0600004196167	0.17721045	Yes	
row_138	DYNLL1	188	9.960000038146973	0.17808744	Yes	
row_139	DNAJA1	191	9.779999732971191	0.1783331	Yes	
row_140	CCT3	193	9.680000305175781	0.1792101	Yes	
row_141	COL1A1	194	9.670000076293945	0.18071839	Yes	
row_142	EIF1	195	9.65999984741211	0.18222669	Yes	
row_143	TUFM	198	9.619999885559082	0.18247235	Yes	
row_144	CANX	200	9.510000228881836	0.18334934	Yes	
row_145	PARK7	202	9.430000305175781	0.18422632	Yes	
row_146	YWHAB	203	9.399999618530273	0.18573461	Yes	
row_147	ANXA1	204	9.270000457763672	0.18724291	Yes	
row_148	PSMB4	205	9.239999771118164	0.1887512	Yes	
row_149	TUBB	206	9.140000343322754	0.1902595	Yes	
row_150	PABPC1	207	9.130000114440918	0.1917678	Yes	
row_151	PCBP1	208	9.130000114440918	0.19327609	Yes	
row_152	SNRPB	209	9.100000381469727	0.19478439	Yes	
row_153	COL1A2	211	9.069999694824219	0.19566137	Yes	
row_154	PSMA7	212	9.039999961853027	0.19716966	Yes	
row_155	TOMM7	214	9.010000228881836	0.19804665	Yes	
row_156	NONO	215	8.920000076293945	0.19955495	Yes	
row_157	CCT7	216	8.869999885559082	0.20106325	Yes	
row_158	ILF2	217	8.829999923706055	0.20257154	Yes	
row_159	CALR	219	8.789999961853027	0.20344852	Yes	
row_160	MAPRE1	221	8.739999771118164	0.2043255	Yes	
row_161	ISG15	222	8.739999771118164	0.2058338	Yes	
row_162	PGK1	224	8.569999694824219	0.20671077	Yes	
row_163	EIF5A	226	8.5600004196167	0.20758776	Yes	
row_164	SOD1	228	8.539999961853027	0.20846474	Yes	
row_165	SEC61A1	230	8.449999809265137	0.20934172	Yes	
row_166	XRCC6	231	8.40999984741211	0.21085002	Yes	
row_167	HINT1	233	8.3100004196167	0.21172701	Yes	
row_168	SOX2	234	8.300000190734863	0.2132353	Yes	
row_169	TXN	235	8.300000190734863	0.2147436	Yes	
row_170	SET	237	8.279999732971191	0.21562058	Yes	
row_171	TRIM28	238	8.260000228881836	0.21712887	Yes	
row_172	PRDX1	242	8.079999923706055	0.21674323	Yes	
row_173	B2M	249	7.980000019073486	0.21446365	Yes	
row_174	EZR	250	7.960000038146973	0.21597195	Yes	
row_175	APEX1	252	7.929999828338623	0.21684892	Yes	
row_176	POLR2L	253	7.909999847412109	0.21835722	Yes	
row_177	A2M	256	7.78000020980835	0.2186029	Yes	
row_178	COX7C	258	7.730000019073486	0.21947987	Yes	
row_179	HLA-A	259	7.730000019073486	0.22098817	Yes	
row_180	UQCRH	263	7.679999828338623	0.22060253	Yes	
row_181	CCT6A	265	7.639999866485596	0.2214795	Yes	
row_182	GNB1	266	7.630000114440918	0.2229878	Yes	
row_183	FTH1	268	7.590000152587891	0.22386478	Yes	
row_184	YWHAH	269	7.579999923706055	0.22537307	Yes	
row_185	ANXA2	270	7.559999942779541	0.22688137	Yes	
row_186	RGS2	274	7.449999809265137	0.22649573	Yes	
row_187	P4HB	275	7.440000057220459	0.22800402	Yes	
row_188	MCL1	277	7.329999923706055	0.22888102	Yes	
row_189	PSMB6	278	7.28000020980835	0.23038931	Yes	
row_190	HSPB1	279	7.25	0.2318976	Yes	
row_191	APOE	281	7.230000019073486	0.23277459	Yes	
row_192	ALDOA	288	7.130000114440918	0.230495	Yes	
row_193	PFDN5	293	7.090000152587891	0.22947805	Yes	
row_194	PPIA	294	7.079999923706055	0.23098634	Yes	
row_195	PHB2	295	7.059999942779541	0.23249464	Yes	
row_196	MSN	296	7.03000020980835	0.23400293	Yes	
row_197	GFAP	298	6.960000038146973	0.23487991	Yes	
row_198	UQCRQ	302	6.909999847412109	0.23449427	Yes	
row_199	PDIA3	305	6.900000095367432	0.23473994	Yes	
row_200	HSP90B1	313	6.75	0.23182905	Yes	
row_201	SERPINE1	314	6.71999979019165	0.23333734	Yes	
row_202	GSTP1	315	6.659999847412109	0.23484564	Yes	
row_203	PSMB5	317	6.650000095367432	0.23572262	Yes	
row_204	PSMB1	318	6.570000171661377	0.23723091	Yes	
row_205	COL3A1	319	6.570000171661377	0.2387392	Yes	
row_206	NDUFS5	321	6.559999942779541	0.23961619	Yes	
row_207	TIMP1	323	6.539999961853027	0.24049318	Yes	
row_208	HLA-C	324	6.53000020980835	0.24200147	Yes	
row_209	DCTN2	327	6.409999847412109	0.24224713	Yes	
row_210	PSME1	329	6.360000133514404	0.24312413	Yes	
row_211	ARF1	331	6.320000171661377	0.2440011	Yes	
row_212	CAPZB	335	6.28000020980835	0.24361546	Yes	
row_213	SNRPC	336	6.28000020980835	0.24512376	Yes	
row_214	MDH2	337	6.269999980926514	0.24663205	Yes	
row_215	JUNB	338	6.260000228881836	0.24814035	Yes	
row_216	NDUFA4	342	6.199999809265137	0.24775471	Yes	
row_217	GADD45A	344	6.190000057220459	0.24863169	Yes	
row_218	COX7A2	346	6.150000095367432	0.24950866	Yes	
row_219	COL4A1	347	6.150000095367432	0.25101697	Yes	
row_220	SPP1	348	6.110000133514404	0.25252527	Yes	
row_221	SDC3	354	6.039999961853027	0.250877	Yes	
row_222	HSD17B10	355	6.03000020980835	0.2523853	Yes	
row_223	TUBA1B	356	6.010000228881836	0.25389358	Yes	
row_224	EGR1	357	6.0	0.25540188	Yes	
row_225	CFL1	358	6.0	0.25691018	Yes	
row_226	TYROBP	360	5.980000019073486	0.25778717	Yes	
row_227	LDHA	361	5.940000057220459	0.25929546	Yes	
row_228	PPP1CB	362	5.929999828338623	0.26080376	Yes	
row_229	HLA-DRB1	363	5.929999828338623	0.26231205	Yes	
row_230	LSM2	368	5.900000095367432	0.26129508	Yes	
row_231	NDUFA1	370	5.869999885559082	0.26217207	Yes	
row_232	LPL	372	5.840000152587891	0.26304904	Yes	
row_233	PFN1	374	5.800000190734863	0.26392603	Yes	
row_234	S100A4	375	5.789999961853027	0.26543432	Yes	
row_235	C3	376	5.75	0.26694262	Yes	
row_236	PSMB3	378	5.739999771118164	0.2678196	Yes	
row_237	SPARC	382	5.710000038146973	0.26743397	Yes	
row_238	PSMD8	383	5.699999809265137	0.26894227	Yes	
row_239	NDUFB11	384	5.639999866485596	0.27045056	Yes	
row_240	CTSD	386	5.619999885559082	0.27132753	Yes	
row_241	UQCR11	387	5.619999885559082	0.27283582	Yes	
row_242	PSMB7	390	5.590000152587891	0.2730815	Yes	
row_243	PPIB	397	5.550000190734863	0.27080193	Yes	
row_244	AP2M1	398	5.550000190734863	0.27231023	Yes	
row_245	OAZ1	400	5.550000190734863	0.2731872	Yes	
row_246	CYC1	401	5.539999961853027	0.2746955	Yes	
row_247	CLU	406	5.460000038146973	0.27367854	Yes	
row_248	TPI1	407	5.460000038146973	0.27518684	Yes	
row_249	SLC25A5	408	5.449999809265137	0.27669513	Yes	
row_250	ENO2	410	5.440000057220459	0.2775721	Yes	
row_251	FCER1G	413	5.420000076293945	0.2778178	Yes	
row_252	CD74	415	5.400000095367432	0.27869475	Yes	
row_253	COX5B	417	5.360000133514404	0.27957174	Yes	
row_254	CCL2	419	5.360000133514404	0.28044873	Yes	
row_255	COX6B1	420	5.349999904632568	0.28195703	Yes	
row_256	MGP	421	5.329999923706055	0.28346533	Yes	
row_257	IGFBP3	424	5.300000190734863	0.283711	Yes	
row_258	NDUFA2	425	5.289999961853027	0.28521928	Yes	
row_259	TUBB4B	430	5.239999771118164	0.28420234	Yes	
row_260	CTSB	431	5.21999979019165	0.28571063	Yes	
row_261	COX5A	433	5.199999809265137	0.2865876	Yes	
row_262	GNB2	435	5.179999828338623	0.2874646	Yes	
row_263	UQCR10	436	5.159999847412109	0.28897288	Yes	
row_264	PRDX2	437	5.119999885559082	0.29048118	Yes	
row_265	SLC25A6	440	5.079999923706055	0.29072684	Yes	
row_266	NRCAM	445	4.980000019073486	0.2897099	Yes	
row_267	COL4A2	446	4.980000019073486	0.2912182	Yes	
row_268	NDUFA8	447	4.980000019073486	0.2927265	Yes	
row_269	SF3B5	450	4.949999809265137	0.29297215	Yes	
row_270	CD63	455	4.869999885559082	0.2919552	Yes	
row_271	ZFP36	456	4.869999885559082	0.2934635	Yes	
row_272	ATF4	457	4.869999885559082	0.2949718	Yes	
row_273	PRDX4	462	4.829999923706055	0.29395482	Yes	
row_274	TUBB2A	466	4.760000228881836	0.29356918	Yes	
row_275	LDHB	467	4.75	0.29507747	Yes	
row_276	MBP	468	4.75	0.29658577	Yes	
row_277	CD14	469	4.739999771118164	0.29809406	Yes	
row_278	BTF3	472	4.710000038146973	0.29833975	Yes	
row_279	ZYX	474	4.679999828338623	0.29921672	Yes	
row_280	NDUFB7	475	4.659999847412109	0.300725	Yes	
row_281	COX4I1	479	4.639999866485596	0.30033937	Yes	
row_282	COL6A1	482	4.619999885559082	0.30058503	Yes	
row_283	COL6A2	486	4.599999904632568	0.3001994	Yes	
row_284	ANXA5	487	4.590000152587891	0.30170768	Yes	
row_285	LGALS1	488	4.579999923706055	0.30321598	Yes	
row_286	ARHGDIA	491	4.559999942779541	0.30346167	Yes	
row_287	APLP1	492	4.559999942779541	0.30496997	Yes	
row_288	SOCS3	494	4.559999942779541	0.30584693	Yes	
row_289	RHOB	498	4.519999980926514	0.3054613	Yes	
row_290	UCHL1	500	4.5	0.30633828	Yes	
row_291	S100B	501	4.5	0.30784658	Yes	
row_292	BCAP31	507	4.449999809265137	0.3061983	Yes	
row_293	PTN	508	4.440000057220459	0.3077066	Yes	
row_294	ATN1	513	4.389999866485596	0.30668965	Yes	
row_295	PTGES3	521	4.329999923706055	0.30377874	Yes	
row_296	MMP14	523	4.300000190734863	0.30465573	Yes	
row_297	FKBP1A	524	4.289999961853027	0.30616403	Yes	
row_298	CETN2	526	4.269999980926514	0.30704102	Yes	
row_299	GJA1	527	4.269999980926514	0.3085493	Yes	
row_300	TUBB4A	531	4.210000038146973	0.30816367	Yes	
row_301	AGT	534	4.190000057220459	0.30840933	Yes	
row_302	DDIT3	536	4.170000076293945	0.3092863	Yes	
row_303	HMOX1	542	4.130000114440918	0.30763805	Yes	
row_304	CKS2	543	4.119999885559082	0.30914634	Yes	
row_305	F3	544	4.110000133514404	0.31065464	Yes	
row_306	GRN	549	4.059999942779541	0.30963767	Yes	
row_307	EEF1A2	551	4.050000190734863	0.31051466	Yes	
row_308	CD9	559	4.010000228881836	0.30760375	Yes	
row_309	S100A9	561	4.0	0.30848074	Yes	
row_310	TOMM20	565	3.9700000286102295	0.3080951	Yes	
row_311	BGN	567	3.950000047683716	0.3089721	Yes	
row_312	C1QB	568	3.940000057220459	0.3104804	Yes	
row_313	COX6A1	573	3.930000066757202	0.3094634	Yes	
row_314	BANF1	574	3.9200000762939453	0.3109717	Yes	
row_315	MYL6	576	3.9200000762939453	0.3118487	Yes	
row_316	HMGA1	577	3.9200000762939453	0.313357	Yes	
row_317	PTPRZ1	579	3.9000000953674316	0.314234	Yes	
row_318	LAPTM5	581	3.890000104904175	0.31511095	Yes	
row_319	HLA-DRB5	583	3.890000104904175	0.31598794	Yes	
row_320	UBL5	584	3.890000104904175	0.31749624	Yes	
row_321	ATP1A2	586	3.859999895095825	0.31837323	Yes	
row_322	NDUFB10	587	3.859999895095825	0.31988153	Yes	
row_323	JUND	590	3.8399999141693115	0.3201272	Yes	
row_324	TAF7	593	3.809999942779541	0.32037285	Yes	
row_325	S100A10	595	3.7899999618530273	0.32124984	Yes	
row_326	S100A6	605	3.7200000286102295	0.31707633	Yes	
row_327	TIMM8B	606	3.7200000286102295	0.31858462	Yes	
row_328	C1R	607	3.7100000381469727	0.32009292	Yes	
row_329	ERH	610	3.700000047683716	0.32033858	Yes	
row_330	DNAJB1	611	3.680000066757202	0.32184687	Yes	
row_331	LTF	612	3.680000066757202	0.32335517	Yes	
row_332	CA2	613	3.680000066757202	0.32486346	Yes	
row_333	CRYAB	618	3.6500000953674316	0.32384652	Yes	
row_334	CAP1	620	3.619999885559082	0.32472348	Yes	
row_335	FCGR3A	621	3.609999895095825	0.32623178	Yes	
row_336	PLA2G2A	625	3.5799999237060547	0.32584614	Yes	
row_337	ARPC1A	626	3.5799999237060547	0.32735443	Yes	
row_338	GLUL	632	3.5399999618530273	0.32570615	Yes	
row_339	RAB7A	634	3.509999990463257	0.32658315	Yes	
row_340	SERPING1	637	3.4800000190734863	0.3268288	Yes	
row_341	NCAN	642	3.4600000381469727	0.32581186	Yes	
row_342	SOX9	644	3.450000047683716	0.32668886	Yes	
row_343	NES	650	3.4200000762939453	0.32504058	Yes	
row_344	EIF4G2	651	3.4200000762939453	0.32654887	Yes	
row_345	UBE2L6	652	3.4100000858306885	0.32805717	Yes	
row_346	ATP1A1	655	3.4000000953674316	0.32830283	Yes	
row_347	ARHGDIB	657	3.390000104904175	0.32917982	Yes	
row_348	GDI1	658	3.390000104904175	0.33068812	Yes	
row_349	GANAB	659	3.390000104904175	0.3321964	Yes	
row_350	DUSP1	663	3.369999885559082	0.33181077	Yes	
row_351	CSDE1	664	3.369999885559082	0.33331907	Yes	
row_352	SAT1	668	3.3499999046325684	0.33293343	Yes	
row_353	NOP10	670	3.3399999141693115	0.3338104	Yes	
row_354	TMED10	671	3.3399999141693115	0.33531868	Yes	
row_355	PDIA4	672	3.3399999141693115	0.33682698	Yes	
